t,Q,P,PET,T
17-Sep-2004,0.27,0.59,1.38,15.4
18-Sep-2004,0.27,0.01,1.64,16.1
19-Sep-2004,0.27,0.66,2.03,12.91
20-Sep-2004,0.26,0.45,2.7,14.68
21-Sep-2004,0.26,0.16,2.88,12.78
22-Sep-2004,0.26,9.61,1.22,13.49
23-Sep-2004,0.28,0.88,1.48,13.65
24-Sep-2004,0.26,0,1.6,9.93
25-Sep-2004,0.26,0.59,0.71,10.42
26-Sep-2004,0.27,0.02,1.17,14.1
27-Sep-2004,0.26,0,1.13,16.2
28-Sep-2004,0.26,0.01,1.34,15.1
29-Sep-2004,0.25,0.46,0.82,12.51
30-Sep-2004,0.35,18.04,0.58,14.1
01-Oct-2004,0.4,2.94,0.84,12.42
02-Oct-2004,0.4,4.8,1.2,11.56
03-Oct-2004,0.42,9.53,0.7,12.07
04-Oct-2004,0.59,2.12,1.51,13.18
05-Oct-2004,0.5,0.24,1.33,11.09
06-Oct-2004,0.42,1.56,1.45,10.54
07-Oct-2004,0.36,0,1.08,9.99
08-Oct-2004,0.33,0.06,0.86,10.2
09-Oct-2004,0.32,0,1.3,10.12
10-Oct-2004,0.31,0,1.75,11.16
11-Oct-2004,0.3,0,1.63,10.52
12-Oct-2004,0.31,5.22,0.51,11.64
13-Oct-2004,0.31,7.45,0.52,11.72
14-Oct-2004,0.37,10.27,0.36,9.17
15-Oct-2004,1.99,26.25,0.29,7.9
16-Oct-2004,1.68,2.6,0.37,8.76
17-Oct-2004,1.13,3.54,0.41,8.68
18-Oct-2004,0.98,0.03,0.46,8.57
19-Oct-2004,0.82,5.37,0.33,8.73
20-Oct-2004,1.11,7.21,0.02,13.47
21-Oct-2004,1.15,0,1.76,11.28
22-Oct-2004,0.9,0,1.23,12.97
23-Oct-2004,0.95,9.62,0.69,14.76
24-Oct-2004,1.07,1.84,0.89,14.44
25-Oct-2004,0.91,0,1.43,11.35
26-Oct-2004,0.81,0,0.41,7.88
27-Oct-2004,0.76,1.14,0.54,8.85
28-Oct-2004,0.76,6.5,0.57,12.41
29-Oct-2004,0.79,0.43,0.47,11.6
30-Oct-2004,0.75,0.1,0.13,11.34
31-Oct-2004,0.72,0,0.21,10.35
01-Nov-2004,0.71,0.43,0.3,10.41
02-Nov-2004,0.68,0.02,0.3,10.22
03-Nov-2004,0.67,4.02,0.2,10.25
04-Nov-2004,0.67,0.04,0.47,9.59
05-Nov-2004,0.65,0.03,0.57,8.07
06-Nov-2004,0.64,0.87,0.19,10.15
07-Nov-2004,0.64,1.35,0.09,10.13
08-Nov-2004,0.66,2.26,0.16,10.37
09-Nov-2004,0.69,5.1,0.16,8.43
10-Nov-2004,0.76,2.74,0.39,7.14
11-Nov-2004,0.73,0.03,0.3,7.16
12-Nov-2004,0.7,0.1,0.59,9.19
13-Nov-2004,0.65,0.04,0.73,4.21
14-Nov-2004,0.63,0,0.09,4.12
15-Nov-2004,0.63,0,0.48,7.44
16-Nov-2004,0.61,0.34,0.35,10.35
17-Nov-2004,0.59,0.23,0.92,11.89
18-Nov-2004,1.05,20.13,0.47,6.58
19-Nov-2004,1.23,0,0.54,1.66
20-Nov-2004,0.92,0,0.16,0.05
21-Nov-2004,0.81,0.67,0.1,3.17
22-Nov-2004,0.86,0.01,0.93,11.17
23-Nov-2004,0.74,0.31,0.14,9.67
24-Nov-2004,0.67,0.25,0.04,8.69
25-Nov-2004,0.64,0.92,0.11,7.85
26-Nov-2004,0.64,1.31,0.24,8.92
27-Nov-2004,0.63,1.04,0.13,6.24
28-Nov-2004,0.63,3.14,0.18,6.62
29-Nov-2004,0.72,0.08,0.02,5.18
30-Nov-2004,0.71,0,0,4.09
01-Dec-2004,0.67,0,0,3.71
02-Dec-2004,0.64,0,0,3.95
03-Dec-2004,0.59,0.48,0,2.25
04-Dec-2004,0.59,0.02,0.03,7.36
05-Dec-2004,0.59,0.1,0.08,7.18
06-Dec-2004,0.59,0,0.23,7.61
07-Dec-2004,0.58,0,0,5.83
08-Dec-2004,0.57,0,0,6.54
09-Dec-2004,0.58,0,0,5.13
10-Dec-2004,0.56,0.02,0.02,3.04
11-Dec-2004,0.55,0,0,5.12
12-Dec-2004,0.53,0,0.07,6.14
13-Dec-2004,0.53,0,0.02,2.32
14-Dec-2004,0.54,0.33,0.26,6.39
15-Dec-2004,0.54,0.25,0.32,9.28
16-Dec-2004,0.55,1.56,0.53,8.92
17-Dec-2004,0.58,5.66,0.51,5.14
18-Dec-2004,0.57,0.02,0.24,3.52
19-Dec-2004,0.54,0,0.49,2.88
20-Dec-2004,0.53,0.73,0.2,0.47
21-Dec-2004,0.54,8.35,0,1.46
22-Dec-2004,0.74,0.4,0.28,7.9
23-Dec-2004,0.71,0,1.17,11.05
24-Dec-2004,0.66,1.38,0.9,7.45
25-Dec-2004,0.62,0,0.16,1.51
26-Dec-2004,0.58,0.06,0,0.21
27-Dec-2004,0.59,9.16,0.02,1.01
28-Dec-2004,0.82,0.37,0.23,4.23
29-Dec-2004,0.74,0.07,0.16,4.44
30-Dec-2004,0.71,0,0.25,9.72
31-Dec-2004,0.68,0.44,0.18,7.89
01-Jan-2005,0.67,1.28,0.52,6.91
02-Jan-2005,0.62,0,0.83,4.39
03-Jan-2005,0.58,0,0.53,7.22
04-Jan-2005,0.57,0.73,0.9,8.15
05-Jan-2005,0.56,0.01,0.38,4.81
06-Jan-2005,0.54,0,0.5,7.32
07-Jan-2005,0.54,0.35,1.77,12.16
08-Jan-2005,0.51,0,1.65,7.86
09-Jan-2005,0.49,0,0.69,7.91
10-Jan-2005,0.51,1.19,0.84,10.85
11-Jan-2005,0.5,0.43,0.52,8.36
12-Jan-2005,0.49,0,1.07,6.1
13-Jan-2005,0.46,0,0.33,3.57
14-Jan-2005,0.45,0.63,0.01,2.44
15-Jan-2005,0.47,0.06,0.26,5.77
16-Jan-2005,0.48,0,0.24,6.24
17-Jan-2005,0.49,0.66,0.61,7.49
18-Jan-2005,0.47,0,0.61,3.52
19-Jan-2005,0.43,1.79,0.43,5.64
20-Jan-2005,0.51,8.71,1.28,10.29
21-Jan-2005,0.52,0,0.99,5.05
22-Jan-2005,0.48,0.05,0.09,1.41
23-Jan-2005,0.46,2.13,0.57,2.44
24-Jan-2005,0.45,3.28,0.43,2.33
25-Jan-2005,0.52,0.39,0.32,2.37
26-Jan-2005,0.51,0.94,0.36,2.05
27-Jan-2005,0.51,5.81,0.35,5.37
28-Jan-2005,0.68,2.35,0.34,5.87
29-Jan-2005,0.68,0.46,0.1,5.58
30-Jan-2005,0.62,0,0.22,5.3
31-Jan-2005,0.57,0.15,0.4,7.3
01-Feb-2005,0.53,0.03,0.29,7.12
02-Feb-2005,0.5,0.23,0.45,6.1
03-Feb-2005,0.5,0,0.17,7.4
04-Feb-2005,0.49,0,0.41,7.09
05-Feb-2005,0.49,0,0.4,5.38
06-Feb-2005,0.47,0.02,0.17,5.03
07-Feb-2005,0.46,0,0.14,3.53
08-Feb-2005,0.45,0.04,0.15,3.94
09-Feb-2005,0.45,0,0.61,7.29
10-Feb-2005,0.45,0.67,0.71,8.49
11-Feb-2005,0.48,9.81,0.27,6.28
12-Feb-2005,0.6,0.61,1.21,9.2
13-Feb-2005,0.54,1.84,1.2,4.33
14-Feb-2005,0.52,3.81,1.27,3.61
15-Feb-2005,0.56,0.05,0.76,2.94
16-Feb-2005,0.55,0,0.56,2.43
17-Feb-2005,0.52,0.45,0.08,3.68
18-Feb-2005,0.51,1.09,0.46,5.38
19-Feb-2005,0.51,2.54,1.09,2.45
20-Feb-2005,0.52,3.37,0.54,1.41
21-Feb-2005,0.53,1.28,0.41,1.59
22-Feb-2005,0.51,1.99,0.69,1.56
23-Feb-2005,0.52,3.44,0.37,0.66
24-Feb-2005,0.6,1.98,0.2,1.24
25-Feb-2005,0.61,1.51,0.35,1.64
26-Feb-2005,0.6,1.27,0.4,2.6
27-Feb-2005,0.56,0.38,0.75,0.51
28-Feb-2005,0.55,4.37,0.42,-0.46
01-Mar-2005,0.69,1.88,0.31,2.14
02-Mar-2005,0.69,0.15,0.44,1.65
03-Mar-2005,0.61,3.18,0.92,0.18
04-Mar-2005,0.7,4.84,0.63,0.8
05-Mar-2005,0.75,1.63,0.71,1.51
06-Mar-2005,0.7,0.03,0.98,1.47
07-Mar-2005,0.67,0.23,0.65,3.68
08-Mar-2005,0.64,0.78,0.7,5.18
09-Mar-2005,0.62,0.31,0.79,5.25
10-Mar-2005,0.6,0,0.64,4.99
11-Mar-2005,0.6,0.56,1.22,5.96
12-Mar-2005,0.58,0,1.41,3.81
13-Mar-2005,0.57,0,1.17,3.37
14-Mar-2005,0.56,1.9,1.23,4.51
15-Mar-2005,0.56,0.01,1.09,8.76
16-Mar-2005,0.59,1.05,1.6,12.96
17-Mar-2005,0.6,0,2,13.79
18-Mar-2005,0.49,0,1.5,12.58
19-Mar-2005,0.48,0.1,0.62,10.13
20-Mar-2005,0.47,0,0.2,8.14
21-Mar-2005,0.48,0,1.33,8.5
22-Mar-2005,0.48,3.32,1.07,11.68
23-Mar-2005,0.44,0.08,1.39,10.85
24-Mar-2005,0.45,1.68,0.85,10.38
25-Mar-2005,0.45,1.16,1.08,10.43
26-Mar-2005,0.48,2.67,0.67,8.24
27-Mar-2005,0.48,0.1,0.47,7.03
28-Mar-2005,0.47,0,0.74,7.81
29-Mar-2005,0.46,0,0.34,6.2
30-Mar-2005,0.46,0.07,0.56,7.65
31-Mar-2005,0.45,0,0.75,8.18
01-Apr-2005,0.45,0,1,9.53
02-Apr-2005,0.44,0,1.87,10.03
03-Apr-2005,0.43,0.11,1.96,11.74
04-Apr-2005,0.44,4.73,1.17,9.4
05-Apr-2005,0.43,0.1,1.55,7.53
06-Apr-2005,0.43,1.94,1.97,9.18
07-Apr-2005,0.42,4.23,1.87,7.33
08-Apr-2005,0.41,2.08,1.44,3.79
09-Apr-2005,0.41,0.28,1.79,5.14
10-Apr-2005,0.41,0,2.34,10.04
11-Apr-2005,0.4,0,1.99,9.74
12-Apr-2005,0.39,2.06,1.51,10.01
13-Apr-2005,0.41,2.23,0.98,8.46
14-Apr-2005,0.4,0.4,1.05,7.81
15-Apr-2005,0.41,5.4,0.38,6.18
16-Apr-2005,0.41,0.02,1.29,6.48
17-Apr-2005,0.4,4.27,2.19,8.3
18-Apr-2005,0.43,1.06,1.93,9.86
19-Apr-2005,0.4,0.21,1.67,7.85
20-Apr-2005,0.39,0.09,0.54,7.07
21-Apr-2005,0.37,0,2.48,8.19
22-Apr-2005,0.36,0,2.66,8.14
23-Apr-2005,0.36,0,2.4,8.97
24-Apr-2005,0.38,0,2.12,9.42
25-Apr-2005,0.37,0,1.94,9.57
26-Apr-2005,0.37,3.02,1.33,10.17
27-Apr-2005,0.37,0.68,2.63,10.43
28-Apr-2005,0.33,0,1.72,12.02
29-Apr-2005,0.31,0.07,3.22,13.18
30-Apr-2005,0.32,12.66,1.7,14.58
01-May-2005,0.43,0.19,2.49,16.66
02-May-2005,0.37,1.13,2.92,15.36
03-May-2005,0.36,2.74,2.05,13.15
04-May-2005,0.33,0.5,1.32,8.7
05-May-2005,0.33,0.31,1.94,10.36
06-May-2005,0.34,12.19,3.16,11.27
07-May-2005,0.44,5.53,2.53,9.16
08-May-2005,0.42,0.71,2.37,7.5
09-May-2005,0.39,0.88,2.35,7.15
10-May-2005,0.38,0.43,2.2,7.05
11-May-2005,0.35,0,2.74,7.35
12-May-2005,0.35,0,2.95,7.96
13-May-2005,0.33,0,2.72,9.02
14-May-2005,0.38,0,2.59,8.73
15-May-2005,0.37,0,3.21,10.17
16-May-2005,0.32,1.14,1.6,8.8
17-May-2005,0.3,0.04,2.38,6.9
18-May-2005,0.29,0.87,2.97,9.7
19-May-2005,0.31,2,1.72,12.52
20-May-2005,0.31,3.26,2.45,14.36
21-May-2005,0.37,12.33,2.35,11.06
22-May-2005,0.35,0.77,2.78,12.13
23-May-2005,0.34,0.02,3.79,11.56
24-May-2005,0.31,0,2.4,12.98
25-May-2005,0.26,0,2.85,15.75
26-May-2005,0.24,0,3.49,18.48
27-May-2005,0.24,0,4.05,19.23
28-May-2005,0.23,0,4.82,16.72
29-May-2005,0.21,0.01,2.58,12.6
30-May-2005,0.28,9.08,2.52,11.61
31-May-2005,0.27,0,2.95,12.02
01-Jun-2005,0.28,4.06,1.44,12.79
02-Jun-2005,0.25,0,2.02,16.39
03-Jun-2005,0.26,8.85,2.35,14.39
04-Jun-2005,0.27,1.57,2.5,13.91
05-Jun-2005,0.26,1.23,1.84,13.91
06-Jun-2005,0.25,0,2.3,11.02
07-Jun-2005,0.24,0,3.42,10.26
08-Jun-2005,0.22,0,4.18,13.33
09-Jun-2005,0.21,0,3.1,15.12
10-Jun-2005,0.21,0.01,2.3,12.4
11-Jun-2005,0.21,0.99,1.71,9.62
12-Jun-2005,0.22,8.2,2.04,11.05
13-Jun-2005,0.22,0,2.49,11.07
14-Jun-2005,0.21,0,3.13,14.14
15-Jun-2005,0.22,6.85,2.24,14.21
16-Jun-2005,0.23,0,2.4,17.27
17-Jun-2005,0.22,0,3.45,21.42
18-Jun-2005,0.21,0,4.27,21.22
19-Jun-2005,0.19,0.07,5.25,22.78
20-Jun-2005,0.18,2.03,3.52,19.91
21-Jun-2005,0.17,0,3.97,18.52
22-Jun-2005,0.16,0,5.21,20.57
23-Jun-2005,0.15,0,5.42,22.47
24-Jun-2005,0.18,15.94,2.91,18.86
25-Jun-2005,0.19,0,1.54,14.81
26-Jun-2005,0.17,0,2.85,13.89
27-Jun-2005,0.15,0,4.5,15.93
28-Jun-2005,0.15,8.61,4.15,15.99
29-Jun-2005,0.16,0.91,1.85,16.37
30-Jun-2005,0.18,2.82,2.01,16.66
01-Jul-2005,0.17,0.28,3.42,17.4
02-Jul-2005,0.17,0,2.08,18.93
03-Jul-2005,0.17,0.22,3.26,17.46
04-Jul-2005,0.17,5.35,1.04,13.73
05-Jul-2005,0.16,6.86,2.26,13.94
06-Jul-2005,0.23,16.06,2.06,14.47
07-Jul-2005,0.33,1.17,2.08,14.82
08-Jul-2005,0.22,0.33,1.98,14.54
09-Jul-2005,0.2,0,2.26,15.45
10-Jul-2005,0.19,0,4.39,19.24
11-Jul-2005,0.18,0,3.69,18.42
12-Jul-2005,0.17,0,3.07,17.16
13-Jul-2005,0.16,0,3.48,19.47
14-Jul-2005,0.15,0.02,4.2,21.81
15-Jul-2005,0.15,3.17,3.92,19.95
16-Jul-2005,0.14,0,3.74,16.98
17-Jul-2005,0.14,0,4.65,19.73
18-Jul-2005,0.13,0.06,3.78,18.66
19-Jul-2005,0.12,0,3.88,16.39
20-Jul-2005,0.11,0,4.36,16.73
21-Jul-2005,0.12,0,2.9,15.71
22-Jul-2005,0.12,0,1.93,15.13
23-Jul-2005,0.12,0,1.93,15.66
24-Jul-2005,0.13,15.84,1.5,14.98
25-Jul-2005,0.19,1.79,0.87,14.27
26-Jul-2005,0.16,0,2.08,14.57
27-Jul-2005,0.15,2.22,1.4,13.7
28-Jul-2005,0.15,0.32,1.58,16.76
29-Jul-2005,0.14,0.13,2.43,17.88
30-Jul-2005,0.13,2.51,1.73,15.75
31-Jul-2005,0.13,0,1.84,14.18
01-Aug-2005,0.12,0,1.73,14.99
02-Aug-2005,0.12,0.16,3.31,18.28
03-Aug-2005,0.12,0.44,3.6,17.43
04-Aug-2005,0.11,3.31,3.12,16.73
05-Aug-2005,0.11,0.13,2.44,15.78
06-Aug-2005,0.1,0.73,2.45,14.52
07-Aug-2005,0.1,0,3.21,14.3
08-Aug-2005,0.1,0.01,2.82,14.59
09-Aug-2005,0.11,1.8,2.34,14.94
10-Aug-2005,0.1,0.14,2.12,17.11
11-Aug-2005,0.1,0.12,2.64,18.08
12-Aug-2005,0.1,2.9,1.74,15.63
13-Aug-2005,0.11,16.35,1.68,14.46
14-Aug-2005,0.13,1.17,1.66,14.52
15-Aug-2005,0.12,0,3.15,15.63
16-Aug-2005,0.11,0,2.62,17.12
17-Aug-2005,0.1,0,3.46,18.1
18-Aug-2005,0.1,0.31,3.11,19.29
19-Aug-2005,0.11,12.34,0.8,15.71
20-Aug-2005,0.12,0.02,1.99,15.34
21-Aug-2005,0.11,0,2.55,16.92
22-Aug-2005,0.12,11.12,1.01,15.27
23-Aug-2005,0.14,0.04,2.94,15.79
24-Aug-2005,0.15,10.05,1.2,14.32
25-Aug-2005,0.18,0.28,2.2,13.1
26-Aug-2005,0.15,0,2.23,13.27
27-Aug-2005,0.14,0,1.69,15.43
28-Aug-2005,0.12,0,3.08,17.59
29-Aug-2005,0.12,0,3.13,18.57
30-Aug-2005,0.12,0,2.92,18.7
31-Aug-2005,0.13,0.69,3.23,21.64
01-Sep-2005,0.12,0.47,2.55,19.31
02-Sep-2005,0.1,0.36,2.56,16.36
03-Sep-2005,0.11,0,1.78,17.19
04-Sep-2005,0.11,2.77,2.64,19.26
05-Sep-2005,0.11,3.5,1.29,18.94
06-Sep-2005,0.12,0,1.95,18.85
07-Sep-2005,0.11,0,2.55,18.66
08-Sep-2005,0.11,0,2.46,18.76
09-Sep-2005,0.13,22.73,1.54,18.22
10-Sep-2005,0.25,5.7,0.19,17.29
11-Sep-2005,0.21,0.07,0.37,15.42
12-Sep-2005,0.16,0,2.19,15.98
13-Sep-2005,0.13,0,2.28,16.78
14-Sep-2005,0.12,0,2.59,17.76
15-Sep-2005,0.18,20.56,0.68,13.96
16-Sep-2005,0.31,0.72,1.96,11.14
17-Sep-2005,0.21,0,1.85,10.53
18-Sep-2005,0.18,0,1,13.79
19-Sep-2005,0.17,0,1.35,15.05
20-Sep-2005,0.15,0.04,1.35,15.47
21-Sep-2005,0.13,0.04,1.47,15.37
22-Sep-2005,0.12,0,1.59,15.36
23-Sep-2005,0.13,4.34,1.27,14.32
24-Sep-2005,0.13,0,1.55,11.6
25-Sep-2005,0.13,4.78,1.49,14.69
26-Sep-2005,0.14,1.21,1.22,13.39
27-Sep-2005,0.14,0.02,1.87,15.1
28-Sep-2005,0.13,7.24,1.75,11.56
29-Sep-2005,0.14,2.4,1.6,11.08
30-Sep-2005,0.15,4.21,0.54,15.17
01-Oct-2005,0.17,0.04,1.39,11.72
02-Oct-2005,0.16,0.09,1.38,10.32
03-Oct-2005,0.15,0,0.66,11.1
04-Oct-2005,0.15,0,0.87,11.9
05-Oct-2005,0.14,0,0.61,12.94
06-Oct-2005,0.15,0,0.1,14.76
07-Oct-2005,0.15,0,0.5,14.75
08-Oct-2005,0.13,4.13,0.68,14.21
09-Oct-2005,0.15,0.01,0.93,10.22
10-Oct-2005,0.14,0,1.38,14.85
11-Oct-2005,0.14,0.63,1.33,17.45
12-Oct-2005,0.13,9.94,0.73,17.68
13-Oct-2005,0.17,1.09,0.21,13.31
14-Oct-2005,0.16,0.09,0.43,12.92
15-Oct-2005,0.15,0.04,0.66,14.96
16-Oct-2005,0.15,0,0.76,13.77
17-Oct-2005,0.14,0,0.48,12.68
18-Oct-2005,0.15,3.05,1.1,11.14
19-Oct-2005,0.16,9.15,0.48,12.13
20-Oct-2005,0.2,0.21,0.89,11.04
21-Oct-2005,0.19,3.8,0.85,12.35
22-Oct-2005,0.19,0,0.52,11.69
23-Oct-2005,0.18,11.82,0.31,10.3
24-Oct-2005,0.48,6.86,0.28,13.98
25-Oct-2005,0.43,0.05,1.49,14.31
26-Oct-2005,0.29,0,0.68,14.36
27-Oct-2005,0.25,0.99,0.98,16.41
28-Oct-2005,0.23,2.35,0.85,15.4
29-Oct-2005,0.22,0.01,0.35,14.03
30-Oct-2005,0.22,0.7,1.05,16.41
31-Oct-2005,0.28,8.69,0.21,12.73
01-Nov-2005,0.3,5.83,0.59,10.85
02-Nov-2005,0.5,14.27,0.37,14.37
03-Nov-2005,0.82,0.46,1.33,14.21
04-Nov-2005,0.53,0,0.85,9.62
05-Nov-2005,0.42,0.04,0.45,8.55
06-Nov-2005,0.41,5.7,0.61,12.7
07-Nov-2005,0.42,0,0.48,9.83
08-Nov-2005,0.39,0.57,1,13.24
09-Nov-2005,0.34,0.56,0.25,7.31
10-Nov-2005,0.34,0.14,0.35,10.98
11-Nov-2005,0.33,0.28,0.97,12.72
12-Nov-2005,0.32,0.48,0.33,6.82
13-Nov-2005,0.3,0.02,0.15,5.89
14-Nov-2005,0.29,2.38,0.15,4.47
15-Nov-2005,0.3,0.01,0.33,7.91
16-Nov-2005,0.29,0.09,0.45,4.92
17-Nov-2005,0.28,0,0.27,2.38
18-Nov-2005,0.27,0.05,0,2.06
19-Nov-2005,0.26,0.02,0,1.58
20-Nov-2005,0.26,0.02,0,0.82
21-Nov-2005,0.26,0.03,0,1.05
22-Nov-2005,0.26,0,0,4.45
23-Nov-2005,0.25,0,0,2.99
24-Nov-2005,0.25,0.63,0.43,3.67
25-Nov-2005,0.27,5.33,0.64,1.04
26-Nov-2005,0.28,7.53,0.43,4.22
27-Nov-2005,0.38,1.1,0.16,3.37
28-Nov-2005,0.35,0.14,0.16,2.67
29-Nov-2005,0.33,0.02,0.08,1.3
30-Nov-2005,0.3,2.04,0.01,1.72
01-Dec-2005,0.32,0.54,0.19,7
02-Dec-2005,0.31,0.02,0.53,7.09
03-Dec-2005,0.31,1.87,0.38,7.21
04-Dec-2005,0.3,0.21,0,5.04
05-Dec-2005,0.29,0.09,0,5.2
06-Dec-2005,0.28,0.46,0.01,4.4
07-Dec-2005,0.27,0,0,3.48
08-Dec-2005,0.27,0,0,5.2
09-Dec-2005,0.26,0,0,1.43
10-Dec-2005,0.26,0,0.09,4.89
11-Dec-2005,0.35,0,0,4.67
12-Dec-2005,0.35,0.04,0.04,5.87
13-Dec-2005,0.37,0.03,0.07,4.46
14-Dec-2005,0.37,0.03,0.16,6.3
15-Dec-2005,0.38,0.64,0.25,7.04
16-Dec-2005,0.36,0.08,1.02,7.15
17-Dec-2005,0.34,0.04,0.69,0.7
18-Dec-2005,0.35,2.12,0.18,-0.02
19-Dec-2005,0.37,0.01,0,4.1
20-Dec-2005,0.36,0.74,0.13,3.47
21-Dec-2005,0.35,0.14,0.13,6.81
22-Dec-2005,0.35,0,0.25,7.46
23-Dec-2005,0.36,0,0.45,7.94
24-Dec-2005,0.37,0.03,0,5.47
25-Dec-2005,0.35,0.22,0.09,3.28
26-Dec-2005,0.35,1.65,0.14,3.49
27-Dec-2005,0.39,5,0.17,0.86
28-Dec-2005,0.38,1.28,0.07,-0.65
29-Dec-2005,0.38,0.14,0,-2.75
30-Dec-2005,0.7,13.69,0.01,1.17
31-Dec-2005,0.87,0.57,0.17,4.69
01-Jan-2006,0.63,1.04,0.11,4.85
02-Jan-2006,0.54,0.11,0,4.19
03-Jan-2006,0.52,3,0,5.67
04-Jan-2006,0.52,0.1,0.04,4.79
05-Jan-2006,0.49,0.65,0.29,2.49
06-Jan-2006,0.45,0.13,0.09,2.61
07-Jan-2006,0.42,0.85,0,2.33
08-Jan-2006,0.38,0.92,0.06,3.63
09-Jan-2006,0.39,0.01,0,4.54
10-Jan-2006,0.39,3.54,0.47,6.21
11-Jan-2006,0.4,0.2,0.42,7.3
12-Jan-2006,0.38,0.02,0.09,2.39
13-Jan-2006,0.37,0,0.4,4.99
14-Jan-2006,0.36,0.01,0.12,6.21
15-Jan-2006,0.37,0,0.06,5.81
16-Jan-2006,0.37,4.82,0.11,5.74
17-Jan-2006,0.42,0.5,0.24,6.19
18-Jan-2006,0.39,0.77,0.06,7.46
19-Jan-2006,0.38,1.32,0.29,9.66
20-Jan-2006,0.38,0.04,0.92,7.89
21-Jan-2006,0.36,0.03,0.22,5.26
22-Jan-2006,0.35,0,0.09,2.28
23-Jan-2006,0.33,0,0.27,1.66
24-Jan-2006,0.32,0.02,0,-0.6
25-Jan-2006,0.33,0.11,0.15,2.29
26-Jan-2006,0.33,0,0.8,3.31
27-Jan-2006,0.31,0.39,0.41,2.67
28-Jan-2006,0.31,0,0.31,1.53
29-Jan-2006,0.31,0.05,0.39,2.79
30-Jan-2006,0.31,0.06,0.33,4.71
31-Jan-2006,0.3,0,0.28,3.29
01-Feb-2006,0.31,0,0.07,0.33
02-Feb-2006,0.3,0,0.1,-1.6
03-Feb-2006,0.3,0,0.03,0.69
04-Feb-2006,0.29,0,0.19,4.13
05-Feb-2006,0.3,0,0.16,4.71
06-Feb-2006,0.31,0,0.63,5.78
07-Feb-2006,0.32,2.2,1.1,7.8
08-Feb-2006,0.3,0,0.79,5.17
09-Feb-2006,0.29,0.03,0.96,2.42
10-Feb-2006,0.28,0.01,0.47,2.72
11-Feb-2006,0.28,3.62,0.36,2.53
12-Feb-2006,0.33,7.17,0.07,5.68
13-Feb-2006,0.35,0.09,0.23,8.54
14-Feb-2006,0.37,12.4,0.69,7.39
15-Feb-2006,0.78,0.23,0.94,8.28
16-Feb-2006,0.56,1.33,0.63,5.47
17-Feb-2006,0.48,0.04,0.67,5.56
18-Feb-2006,0.43,0,0.27,3.23
19-Feb-2006,0.4,0,0.26,3.72
20-Feb-2006,0.37,1.28,0.93,4.31
21-Feb-2006,0.36,1.1,0.56,2.79
22-Feb-2006,0.35,0.83,0.61,2.66
23-Feb-2006,0.36,2.4,0.22,2.33
24-Feb-2006,0.35,0.02,0.8,2.08
25-Feb-2006,0.33,1.04,1.01,3.4
26-Feb-2006,0.33,0.65,0.88,3.31
27-Feb-2006,0.35,4.65,0.64,3.49
28-Feb-2006,0.38,0,0.98,1.58
01-Mar-2006,0.37,0,1.25,0.35
02-Mar-2006,0.35,0,0.78,-0.4
03-Mar-2006,0.35,0,0.66,-0.77
04-Mar-2006,0.36,0,0.91,-0.51
05-Mar-2006,0.33,0,1.26,1.88
06-Mar-2006,0.32,0,1.01,1.74
07-Mar-2006,0.36,9.91,0.4,1.93
08-Mar-2006,0.57,6.45,0.05,8.05
09-Mar-2006,0.71,5.15,0.47,7.54
10-Mar-2006,0.72,4.54,0.49,4.93
11-Mar-2006,0.7,0.09,0.78,1.77
12-Mar-2006,0.57,0,0.92,0.64
13-Mar-2006,0.56,0,1.54,1.09
14-Mar-2006,0.52,1.6,0.8,2.41
15-Mar-2006,0.47,0,1,3
16-Mar-2006,0.44,0.03,0.6,1.96
17-Mar-2006,0.41,0,0.94,2.42
18-Mar-2006,0.38,0,0.96,2.65
19-Mar-2006,0.39,0.05,0.79,4.55
20-Mar-2006,0.39,0,0.53,3.78
21-Mar-2006,0.38,0,0.92,2.91
22-Mar-2006,0.38,0.01,1.25,1.66
23-Mar-2006,0.36,0.67,1.69,2.89
24-Mar-2006,0.36,2.14,0.72,7.02
25-Mar-2006,0.37,1.54,1.46,11.29
26-Mar-2006,0.36,1.03,1.46,13.22
27-Mar-2006,0.35,0.02,1.5,12.19
28-Mar-2006,0.34,1.05,2.22,9.56
29-Mar-2006,0.35,9.06,1.55,8.4
30-Mar-2006,0.42,1.72,1.93,12.27
31-Mar-2006,0.38,0.32,2.21,11.95
01-Apr-2006,0.36,0.36,2.21,10.48
02-Apr-2006,0.34,2.13,1.85,9.01
03-Apr-2006,0.33,0.03,1.91,7.13
04-Apr-2006,0.32,0.27,1.53,3.73
05-Apr-2006,0.31,0,2.15,4.4
06-Apr-2006,0.31,1.34,2.17,6.79
07-Apr-2006,0.31,0.56,1.65,6.69
08-Apr-2006,0.31,0.85,2.05,5.99
09-Apr-2006,0.3,1.56,1.01,3.78
10-Apr-2006,0.29,0,1.77,4.32
11-Apr-2006,0.31,5.89,1.04,4.9
12-Apr-2006,0.31,0.02,2.16,8.64
13-Apr-2006,0.31,0.53,2.24,11.1
14-Apr-2006,0.3,0,2.49,9.65
15-Apr-2006,0.3,0,0.62,8.89
16-Apr-2006,0.29,0,1.88,10.37
17-Apr-2006,0.29,0,2.52,9.63
18-Apr-2006,0.29,0.09,1.83,9.47
